Health Center Name,City,State,combinedKey,name,address,contact,lat,lon
"VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION",AURORA,IL,"VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION, AURORA, IL",VNA Health Care,"400 N Highland Ave, Aurora, IL 60506, USA",(630) 892-4355,41.7659245,-88.3297293
"COMMUNITY HEALTH & EMERGENCY SERVICES, INC",CAIRO,IL,"COMMUNITY HEALTH & EMERGENCY SERVICES, INC, CAIRO, IL",,,,,
"MACOUPIN, COUNTY OF",CARLINVILLE,IL,"MACOUPIN, COUNTY OF, CARLINVILLE, IL",Carlinville,"Carlinville, IL 62626, USA",,39.2797699,-89.8817662
SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,CARTERVILLE,IL,"SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION, CARTERVILLE, IL",Shawnee Health Service Administration Offices,"109 California St, Carterville, IL 62918, USA",(618) 985-8221,37.7514721,-89.0765161
ACCESS COMMUNITY HEALTH NETWORK,CHICAGO,IL,"ACCESS COMMUNITY HEALTH NETWORK, CHICAGO, IL",ACCESS Rogers Park Family Health Center,"1555 W Howard St, Chicago, IL 60626, USA",(773) 764-7146,42.0191925,-87.6702578
"ALIVIO MEDICAL CENTER, INC",CHICAGO,IL,"ALIVIO MEDICAL CENTER, INC, CHICAGO, IL","ALIVIO MEDICAL CENTER, INC.","1450 W Cermak Rd, Chicago, IL 60608, USA",(773) 254-1400,41.8529688,-87.6645576
ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,CHICAGO,IL,"ASIAN HUMAN SERVICES FAMILY HEALTH CENTER, CHICAGO, IL",Asian Human Services Family Health Center,"8800 Lockwood Ave, Skokie, IL 60077, USA",(847) 983-1400,42.0410917,-87.7595655
BELOVED COMMUNITY FAMILY WELLNESS CENTER,CHICAGO,IL,"BELOVED COMMUNITY FAMILY WELLNESS CENTER, CHICAGO, IL",Beloved Community Family Wellness Center,"6821 S Halsted St, Chicago, IL 60621, USA",(773) 651-3629,41.7699531,-87.6443974
"CHICAGO FAMILY HEALTH CENTER, INC.",CHICAGO,IL,"CHICAGO FAMILY HEALTH CENTER, INC., CHICAGO, IL",Chicago Family Health Center,"570 E 115th St, Chicago, IL 60628, USA",(773) 768-5000,41.6855879,-87.6084022
CHRISTIAN COMMUNITY HEALTH CENTER,CHICAGO,IL,"CHRISTIAN COMMUNITY HEALTH CENTER, CHICAGO, IL",Christian Community Health Center,"2815 W 5th Ave, Chicago, IL 60612, USA",(773) 826-1018,41.880723,-87.6969236
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,"COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS, CHICAGO, IL",Community Health Partnership,"205 W Randolph St #2222, Chicago, IL 60606, USA",(312) 795-0000,41.8841113,-87.6341723
"ERIE FAMILY HEALTH CENTER, INC.",CHICAGO,IL,"ERIE FAMILY HEALTH CENTER, INC., CHICAGO, IL",Erie Humboldt Park Health Center,"2750 W North Ave, Chicago, IL 60647, USA",(312) 666-3494,41.9104556,-87.69667
ESPERANZA HEALTH CENTERS,CHICAGO,IL,"ESPERANZA HEALTH CENTERS, CHICAGO, IL",Esperanza Health Centers California,"2001 S California Ave #100, Chicago, IL 60608, USA",(773) 584-6200,41.8546526,-87.6953253
"FRIEND FAMILY HEALTH CENTER, INC.",CHICAGO,IL,"FRIEND FAMILY HEALTH CENTER, INC., CHICAGO, IL",Friend Family Health Center Inc,"5635 S Pulaski Rd, Chicago, IL 60629, USA",(773) 585-3900,41.7901668,-87.7227607
HEARTLAND ALLIANCE HEALTH,CHICAGO,IL,"HEARTLAND ALLIANCE HEALTH, CHICAGO, IL",Heartland Alliance Health Englewood Health Center,"5501 S Halsted St, Chicago, IL 60621, USA",(773) 275-2586,41.7936606,-87.644904
HEARTLAND INTERNATIONAL HEALTH CENTERS,CHICAGO,IL,"HEARTLAND INTERNATIONAL HEALTH CENTERS, CHICAGO, IL",Heartland Health Center - Touhy,"2200 W Touhy Ave, Chicago, IL 60645, USA",(773) 751-1875,42.0124201,-87.6864137
HOWARD BROWN HEALTH CENTER,CHICAGO,IL,"HOWARD BROWN HEALTH CENTER, CHICAGO, IL",Howard Brown Health Clark,"6500 N Clark St, Chicago, IL 60626, USA",(773) 388-1600,42.0000343,-87.6714074
INNER CITY MUSLIM ACTION NETWORK,CHICAGO,IL,"INNER CITY MUSLIM ACTION NETWORK, CHICAGO, IL",Food Distribution Center - Iman: Inner-city Muslim Action Netwrok,"2744 W 63rd St, Chicago, IL 60629, USA",(773) 434-4626,41.7792569,-87.6927863
LAWNDALE CHRISTIAN HEALTH CENTER,CHICAGO,IL,"LAWNDALE CHRISTIAN HEALTH CENTER, CHICAGO, IL",Lawndale Christian Health Center,"3860 Ogden Ave, Chicago, IL 60623, USA",(872) 588-3000,41.8525899,-87.7218767
"NEAR NORTH HEALTH SERVICE CORPORATION, THE",CHICAGO,IL,"NEAR NORTH HEALTH SERVICE CORPORATION, THE, CHICAGO, IL",North Health Service Corporation,"1276 N Clybourn Ave, Chicago, IL 60610, USA",(312) 337-1073,41.9052536,-87.6422731
"PRIMECARE COMMUNITY HEALTH, INC.",CHICAGO,IL,"PRIMECARE COMMUNITY HEALTH, INC., CHICAGO, IL",Primecare Community Health Inc: Friedman Michael H MD,"1431 N Western Ave, Chicago, IL 60622, USA",(312) 633-5841,41.9075732,-87.6863618
"TCA HEALTH, INC. NFP",CHICAGO,IL,"TCA HEALTH, INC. NFP, CHICAGO, IL","TCA Health, Inc.","1029 E 130th St, Chicago, IL 60628, USA",(773) 995-6300,41.658754,-87.596743
UNIVERSITY OF ILLINOIS,CHICAGO,IL,"UNIVERSITY OF ILLINOIS, CHICAGO, IL",University of Illinois at Chicago,"1200 W Harrison St, Chicago, IL 60607, USA",(312) 996-7000,41.8696074,-87.6496218
COMMUNITY HEALTH IMPROVEMENT CENTER,DECATUR,IL,"COMMUNITY HEALTH IMPROVEMENT CENTER, DECATUR, IL",Community Health Improvemnt Center,"320 East Central Avenue, Decatur, IL 62521, USA",(217) 877-9117,39.8749248,-88.9570479
"SOUTHERN ILLINOIS HEALTH CARE FOUNDATION, INC.",E SAINT LOUIS,IL,"SOUTHERN ILLINOIS HEALTH CARE FOUNDATION, INC., E SAINT LOUIS, IL",SIHF Healthcare - East St. Louis - State Street,"2001 State St, East St Louis, IL 62205, USA",(618) 271-9191,38.6187985,-90.1325762
GREATER ELGIN FAMILY CARE CENTER,ELGIN,IL,"GREATER ELGIN FAMILY CARE CENTER, ELGIN, IL",Greater Elgin Family Care Center - Summit Health Center,"373 Summit St Ste 100, Elgin, IL 60120, USA",(847) 608-1344,42.0460785,-88.2778173
FAMILY CHRISTIAN HEALTH CENTER,HARVEY,IL,"FAMILY CHRISTIAN HEALTH CENTER, HARVEY, IL",Family Christian Health Center,"31 W 155th St, Harvey, IL 60426, USA",(708) 596-5177,41.6084339,-87.6579589
WILL COUNTY COMMUNITY HEALTH CENTER,JOLIET,IL,"WILL COUNTY COMMUNITY HEALTH CENTER, JOLIET, IL",Will County Community Health Center,"1106 Neal Ave, Joliet, IL 60433, USA",(815) 727-8480,41.5040487,-88.0679939
PILLARS COMMUNITY HEALTH,LA GRANGE,IL,"PILLARS COMMUNITY HEALTH, LA GRANGE, IL",Pillars Community Health - Medical Center,"110 Calendar Ave #2325, La Grange, IL 60525, USA",(708) 745-5277,41.8145444,-87.8714174
PCC COMMUNITY WELLNESS CENTER,OAK PARK,IL,"PCC COMMUNITY WELLNESS CENTER, OAK PARK, IL",PCC Community Wellness Center,"14 Lake St, Oak Park, IL 60302, USA",(708) 383-0113,41.8882936,-87.7756029
"AUNT MARTHA'S HEALTH AND WELLNESS, INC.",OLYMPIA FLDS,IL,"AUNT MARTHA'S HEALTH AND WELLNESS, INC., OLYMPIA FLDS, IL",Aunt Martha's,"19990 Governors Hwy, Olympia Fields, IL 60461, USA",(708) 747-7100,41.5267094,-87.7004965
CRUSADERS CENTRAL CLINIC ASSOCIATION,ROCKFORD,IL,"CRUSADERS CENTRAL CLINIC ASSOCIATION, ROCKFORD, IL",Crusader Community Health,"1200 W State St, Rockford, IL 61102, USA",(815) 490-1600,42.2751501,-89.1083121
SOUTHERN ILLINOIS UNIVERSITY,SPRINGFIELD,IL,"SOUTHERN ILLINOIS UNIVERSITY, SPRINGFIELD, IL",SIU School of Medicine,"801 N Rutledge St, Springfield, IL 62702, USA",(217) 545-8000,39.8100982,-89.6575947
"LAKE, COUNTY OF",WAUKEGAN,IL,"LAKE, COUNTY OF, WAUKEGAN, IL",Lake County,"Lake County, IL, USA",,42.3689363,-87.8271534
VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC.,CLINTON,IN,"VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC., CLINTON, IN",Valley Professionals Community Health Center,"777 S Main St #100, Clinton, IN 47842, USA",(765) 828-1003,39.653504,-87.3990775
"HEART CITY HEALTH CENTER, INC.",ELKHART,IN,"HEART CITY HEALTH CENTER, INC., ELKHART, IN",Heart City Health,"236 Simpson Ave, Elkhart, IN 46516, USA",(574) 293-0052,41.6897287,-85.9458635
"COMMUNITY HEALTHNET, INC",GARY,IN,"COMMUNITY HEALTHNET, INC, GARY, IN",Community HealthNet Health Centers,"1021 W 5th Ave, Gary, IN 46402, USA",(219) 880-1190,41.6017048,-87.3504715
"MAPLE CITY HEALTH CARE CENTER, INC.",GOSHEN,IN,"MAPLE CITY HEALTH CARE CENTER, INC., GOSHEN, IN",Maple City Health Care Center,"213 Middlebury St, Goshen, IN 46528, USA",(574) 534-3300,41.5932252,-85.8323934
INDIANA HEALTH CENTERS INCORPORATED,INDIANAPOLIS,IN,"INDIANA HEALTH CENTERS INCORPORATED, INDIANAPOLIS, IN","Indiana Health Centers, Inc.","8003 Castleway Dr, Indianapolis, IN 46250, USA",(317) 576-1335,39.9026018,-86.0545639
"RAPHAEL HEALTH CENTER, INC.",INDIANAPOLIS,IN,"RAPHAEL HEALTH CENTER, INC., INDIANAPOLIS, IN",Raphael Health Center,"401 E 34th St, Indianapolis, IN 46205, USA",(317) 926-1507,39.8174546,-86.1506215
"SHALOM HEALTH CARE CENTER, INC.",INDIANAPOLIS,IN,"SHALOM HEALTH CARE CENTER, INC., INDIANAPOLIS, IN",Shalom Health Care Center,"3400 Lafayette Rd # 200, Indianapolis, IN 46222, USA",(317) 291-7422,39.8175537,-86.2296634
THE HEALTH & HOSPITAL CORP OF MARION COUNTY,INDIANAPOLIS,IN,"THE HEALTH & HOSPITAL CORP OF MARION COUNTY, INDIANAPOLIS, IN","The Health Cares Exchange Initiative, Inc.","7100 N Ashland Ave, Chicago, IL 60626, USA",(773) 509-6402,42.0118035,-87.6703938
LIFESPRING INC.,JEFFERSONVLLE,IN,"LIFESPRING INC., JEFFERSONVLLE, IN",Lifespring,"460 Spring St, Jeffersonville, IN 47130, USA",(812) 913-5462,38.2742319,-85.7418831
SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC,MERRILLVILLE,IN,"SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC, MERRILLVILLE, IN",Regional Mental Health Center,"1441 E 84th Pl, Merrillville, IN 46410, USA",(219) 769-4005,41.4643844,-87.3202372
"OPEN DOOR HEALTH SERVICES, INC.",MUNCIE,IN,"OPEN DOOR HEALTH SERVICES, INC., MUNCIE, IN",Open Door Health Services,"333 S Madison St, Muncie, IN 47305, USA",(765) 286-7000,40.1913772,-85.3822754
ASPIRE HEALTH CENTER,NOBLESVILLE,IN,"ASPIRE HEALTH CENTER, NOBLESVILLE, IN",Aspire Indiana Health,"17840 Cumberland Rd, Noblesville, IN 46060, USA",(317) 773-6864,40.0485828,-85.9936277
"HEALTHLINC, INC.",VALPARAISO,IN,"HEALTHLINC, INC., VALPARAISO, IN",Healthlinc Inc: Ames Jay T MD,"1001 Sturdy Rd, Valparaiso, IN 46383, USA",(219) 462-7173,41.47708,-87.0375194
PORTER STARKE SERVICES INC,VALPARAISO,IN,"PORTER STARKE SERVICES INC, VALPARAISO, IN",Porter-Starke Services,"601 Wall St, Valparaiso, IN 46383, USA",(219) 531-3500,41.4894677,-87.053739
EASTERN IOWA HEALTH CENTER,CEDAR RAPIDS,IA,"EASTERN IOWA HEALTH CENTER, CEDAR RAPIDS, IA",Eastern Iowa Health Center Family Medicine | Pediatrics | Behavioral Health,"1201 3rd Ave SE, Cedar Rapids, IA 52403, USA",(319) 730-7300,41.9831202,-91.6555431
ALL CARE HEALTH CENTER,COUNCIL BLFS,IA,"ALL CARE HEALTH CENTER, COUNCIL BLFS, IA",All Care Health Center,"902 S 6th St, Council Bluffs, IA 51501, USA",(712) 325-1990,41.2530417,-95.8533951
"COMMUNITY HEALTH CARE, INC.",DAVENPORT,IA,"COMMUNITY HEALTH CARE, INC., DAVENPORT, IA",Community Health Care,"500 W River Dr, Davenport, IA 52801, USA",(563) 336-3041,41.5211039,-90.5806669
PROTEUS INC.,DES MOINES,IA,"PROTEUS INC., DES MOINES, IA","Proteus, Inc.","1221 Center St, Des Moines, IA 50309, USA",(515) 271-5306,41.5919332,-93.6334926
CRESCENT COMMUNITY HEALTH CENTER,DUBUQUE,IA,"CRESCENT COMMUNITY HEALTH CENTER, DUBUQUE, IA",Crescent Community Health Center,"1690 Elm St #300, Dubuque, IA 52001, USA",(563) 690-2850,42.5098413,-90.6647423
SIOUXLAND COMMUNITY HEALTH CENTER,SIOUX CITY,IA,"SIOUXLAND COMMUNITY HEALTH CENTER, SIOUX CITY, IA",Siouxland Community Health Center,"1021 Nebraska St, Sioux City, IA 51105, USA",(712) 252-2477,42.5011069,-96.4045235
PRIMARY HEALTH CARE INC,URBANDALE,IA,"PRIMARY HEALTH CARE INC, URBANDALE, IA",Primary Health Care Inc,"1200 University Ave, Des Moines, IA 50314, USA",(515) 248-1447,41.6002081,-93.633171
ATCHISON COMMUNITY HEALTH CLINIC,ATCHISON,KS,"ATCHISON COMMUNITY HEALTH CLINIC, ATCHISON, KS",Atchison Community Health Clinic,"1412 N 2nd St, Atchison, KS 66002, USA",(913) 367-4879,39.5791098,-95.1149055
"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC.",GARDEN CITY,KS,"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC., GARDEN CITY, KS",Mexican American Ministries,"310 E Walnut St # L05, Garden City, KS 67846, USA",(620) 260-9560,37.9705,-100.869039
TURNER HOUSE CLINIC INC.,KANSAS CITY,KS,"TURNER HOUSE CLINIC INC., KANSAS CITY, KS",Vibrant Health Wyandotte: Central,"21 N 12th St Ste 300, Kansas City, KS 66102, USA",(913) 342-2552,39.1038137,-94.6392286
"COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS, INC.",PITTSBURG,KS,"COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS, INC., PITTSBURG, KS",Community Health Center of Southeast Kansas,"3011 N Michigan St, Pittsburg, KS 66762, USA",(620) 231-9873,37.4373002,-94.6963317
"GRACEMED HEALTH CLINIC, INC.",WICHITA,KS,"GRACEMED HEALTH CLINIC, INC., WICHITA, KS",GraceMed Evergreen Family Clinic,"1125 W 26th St N, Wichita, KS 67204, USA",(316) 866-2000,37.7314467,-97.3499536
HEALTHCORE CLINIC INC,WICHITA,KS,"HEALTHCORE CLINIC INC, WICHITA, KS",HealthCore Clinic Inc,"2707 E 21st St N, Wichita, KS 67214, USA",,37.7224141,-97.3051435
"HUNTER HEALTH CLINIC INC, THE",WICHITA,KS,"HUNTER HEALTH CLINIC INC, THE, WICHITA, KS",Hunter Health,"2750 S Roosevelt St, Wichita, KS 67210, USA",(316) 262-2415,37.6448153,-97.290189
"A+ FAMILY HEALTHCARE, LLC",BROWNSVILLE,KY,"A+ FAMILY HEALTHCARE, LLC, BROWNSVILLE, KY",A+ Family Healthcare,"210 S Main St, Brownsville, KY 42210, USA",(270) 975-4050,37.1915206,-86.2649078
"CUMBERLAND FAMILY MEDICAL CENTER, INC.",BURKESVILLE,KY,"CUMBERLAND FAMILY MEDICAL CENTER, INC., BURKESVILLE, KY",Cumberland Family Medical Center,"360 Keen St, Burkesville, KY 42717, USA",(270) 864-2889,36.7852094,-85.3689784
"HEALTHFIRST BLUEGRASS, INC.",LEXINGTON,KY,"HEALTHFIRST BLUEGRASS, INC., LEXINGTON, KY",HealthFirst Bluegrass - Southland Drive Clinic,"496 Southland Dr, Lexington, KY 40503, USA",(859) 288-2425,38.0206451,-84.5290222
UNIVERSITY OF KENTUCKY,LEXINGTON,KY,"UNIVERSITY OF KENTUCKY, LEXINGTON, KY",University of Kentucky,"Lexington, KY 40506, USA",(859) 257-9000,38.0306511,-84.5039697
"PARK DUVALLE COMMUNITY HEALTH CENTER, INC.",LOUISVILLE,KY,"PARK DUVALLE COMMUNITY HEALTH CENTER, INC., LOUISVILLE, KY",Park Duvalle Community Health Center Inc,"3015 Wilson Ave, Louisville, KY 40211, USA",(502) 774-4401,38.227494,-85.8074203
"SHAWNEE CHRISTIAN HEALTHCARE CENTER, INC.",LOUISVILLE,KY,"SHAWNEE CHRISTIAN HEALTHCARE CENTER, INC., LOUISVILLE, KY",Shawnee Christian Healthcare Center,"234 Amy Ave, Louisville, KY 40212, USA",(502) 778-0001,38.2604676,-85.8136242
"BIG SANDY HEALTH CARE, INC.",PRESTONSBURG,KY,"BIG SANDY HEALTH CARE, INC., PRESTONSBURG, KY",Big Sandy Health Care Inc,"1709 KY-321, Prestonsburg, KY 41653, USA",(606) 886-8546,37.6940231,-82.7714647
"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PRESTONSBURG,KY,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC., PRESTONSBURG, KY",Mountain Comprehensive Care Center,"104 S Front St, Prestonsburg, KY 41653, USA",(606) 886-8572,37.6668282,-82.7748674
MOUNTAIN COMPREHENSIVE HEALTH CORPORATION,WHITESBURG,KY,"MOUNTAIN COMPREHENSIVE HEALTH CORPORATION, WHITESBURG, KY",Mountain Comprehensive Health Corporation: Wellness Center,"77 E Main St, Whitesburg, KY 41858, USA",(606) 632-3882,37.1174473,-82.8239414
"RAPIDES PRIMARY HEALTH CARE CENTER, INCORPORATED",ALEXANDRIA,LA,"RAPIDES PRIMARY HEALTH CARE CENTER, INCORPORATED, ALEXANDRIA, LA",Rapides Primary Health Care Center,"1217 Willow Glen River Rd, Alexandria, LA 71302, USA",(318) 487-4400,31.28596,-92.4263298
"JEFFERSON COMMUNITY HEALTH CARE CENTERS, INC",AVONDALE,LA,"JEFFERSON COMMUNITY HEALTH CARE CENTERS, INC, AVONDALE, LA",InclusivCare,"3932 US-90, Avondale, LA 70094, USA",(504) 436-2223,29.9119317,-90.2246018
"MOREHOUSE COMMUNITY MEDICAL CENTERS, INC.",BASTROP,LA,"MOREHOUSE COMMUNITY MEDICAL CENTERS, INC., BASTROP, LA","Morehouse Community Medical Centers, Inc.","518 Durham St, Bastrop, LA 71220, USA",(318) 283-8887,32.7737388,-91.9185028
"BATON ROUGE PRIMARY CARE COLLABORATIVE, INC.",BATON ROUGE,LA,"BATON ROUGE PRIMARY CARE COLLABORATIVE, INC., BATON ROUGE, LA","Baton Rouge Primary Care Collaborative, Inc.","2013 Central Rd, Baton Rouge, LA 70807, USA",(225) 774-1120,30.5359433,-91.1729864
CAPITOL CITY FAMILY HEALTH CENTER INC,BATON ROUGE,LA,"CAPITOL CITY FAMILY HEALTH CENTER INC, BATON ROUGE, LA",Capitol City Family Health Center,"4000 Gus Young Ave, Baton Rouge, LA 70802, USA",(225) 388-5861,30.4617557,-91.1491139
H I V/ A I D S ALLIANCE FOR REGION TWO INC,BATON ROUGE,LA,"H I V/ A I D S ALLIANCE FOR REGION TWO INC, BATON ROUGE, LA",HAART Clinic,"3849 North Blvd, Baton Rouge, LA 70806, USA",(225) 655-6422,30.4487165,-91.1503633
RKM PRIMARY CARE,CLINTON,LA,"RKM PRIMARY CARE, CLINTON, LA",RKM Primary Care,"11990 Jackson St, Clinton, LA 70722, USA",(225) 683-5292,30.865179,-91.0220642
"RICHLAND, PARISH OF",DELHI,LA,"RICHLAND, PARISH OF, DELHI, LA",Delhi,"Delhi, LA, USA",,32.4576421,-91.4931736
SOUTHEAST COMMUNITY HEALTH SYSTEMS,GREENSBURG,LA,"SOUTHEAST COMMUNITY HEALTH SYSTEMS, GREENSBURG, LA",St Helena Communuty Health Center,"490 Sitman, Greensburg, LA 70441, USA",(225) 306-2070,30.8302899,-90.6660021
"INNIS COMMUNITY HEALTH CENTER, INC.",INNIS,LA,"INNIS COMMUNITY HEALTH CENTER, INC., INNIS, LA",Innis Community Health Center,"6450 LA-1, Batchelor, LA 70715, USA",(225) 492-3775,30.8766211,-91.6799962
SWLA CENTER FOR HEALTH SERVICES,LAKE CHARLES,LA,"SWLA CENTER FOR HEALTH SERVICES, LAKE CHARLES, LA",SWLA Center for Health Services,"2000 Opelousas St, Lake Charles, LA 70601, USA",(337) 439-9983,30.2418583,-93.1917999
ACCESS HEALTH LOUISIANA,LULING,LA,"ACCESS HEALTH LOUISIANA, LULING, LA",St. Charles Community Health Center,"843 Milling Ave, Luling, LA 70070, USA",(985) 785-5800,29.9231539,-90.3695724
C A S S E DENTAL HEALTH INSTITUTE,MANSFIELD,LA,"C A S S E DENTAL HEALTH INSTITUTE, MANSFIELD, LA",Casse Community Health Institute,"907 Polk St, Mansfield, LA 71052, USA",(318) 688-3350,32.0376813,-93.7060222
PRIORITY HEALTH CARE,MARRERO,LA,"PRIORITY HEALTH CARE, MARRERO, LA",Priority Health Care,"4700 Wichers Dr #304, Marrero, LA 70072, USA",(504) 309-3262,29.8889766,-90.0972125
PRIMARY HEALTH SERVICES CENTER,MONROE,LA,"PRIMARY HEALTH SERVICES CENTER, MONROE, LA",Primary Health Services Center,"2913 Desiard St, Monroe, LA 71201, USA",(318) 388-1250,32.5198842,-92.0876198
"IBERIA COMPRHESIVE COM HEALTH CNTR, INC.",NEW IBERIA,LA,"IBERIA COMPRHESIVE COM HEALTH CNTR, INC., NEW IBERIA, LA","Iberia Comprehensive Community Health Center, Inc.","806 Jefferson Terrace, New Iberia, LA 70560, USA",(337) 365-4945,29.9883829,-91.810504
"BAPTIST COMMUNITY HEALTH SERVICES, INC.",NEW ORLEANS,LA,"BAPTIST COMMUNITY HEALTH SERVICES, INC., NEW ORLEANS, LA",Baptist Community Health Services- Lower 9th Ward- Family Practice,"1616 Caffin Ave, New Orleans, LA 70117, USA",(504) 533-4999,29.9669161,-90.0146467
COMMON GROUND HEALTH CLINIC,NEW ORLEANS,LA,"COMMON GROUND HEALTH CLINIC, NEW ORLEANS, LA",Common Ground Health Clinic,"3737 General De Gaulle Dr, New Orleans, LA 70114, USA",(504) 361-9800,29.9228778,-90.0184145
"EXCELTH, INCORPORATED",NEW ORLEANS,LA,"EXCELTH, INCORPORATED, NEW ORLEANS, LA","EXCELth, Incorporated","1515 Poydras St # 1070, New Orleans, LA 70112, USA",(504) 524-1210,29.952563,-90.0785
MARILLAC COMMUNITY HEALTH CENTERS,NEW ORLEANS,LA,"MARILLAC COMMUNITY HEALTH CENTERS, NEW ORLEANS, LA",DePaul Community Health Center - Carrollton,"3201 S Carrollton Ave, New Orleans, LA 70118, USA",(504) 207-3060,29.9617633,-90.1138815
MQVN COMMUNITY DEVELOPMENT CORP,NEW ORLEANS,LA,"MQVN COMMUNITY DEVELOPMENT CORP, NEW ORLEANS, LA",MQVN Community,"4626 Alcee Fortier Blvd # E, New Orleans, LA 70129, USA",(504) 255-9170,30.0370175,-89.912218
"NEW ORLEANS, CITY OF",NEW ORLEANS,LA,"NEW ORLEANS, CITY OF, NEW ORLEANS, LA",New Orleans,"New Orleans, LA, USA",,29.9510658,-90.0715323
"ST. THOMAS COMMUNITY HEALTH CENTER, INC.",NEW ORLEANS,LA,"ST. THOMAS COMMUNITY HEALTH CENTER, INC., NEW ORLEANS, LA",St. Thomas Community Health Center- Donald T. Erwin Center,"1936 Magazine St, New Orleans, LA 70130, USA",(504) 529-5558,29.9309647,-90.0744084
SOUTHWEST LOUISIANA PRIMARY HEALTH CARE CENTER INC,OPELOUSAS,LA,"SOUTHWEST LOUISIANA PRIMARY HEALTH CARE CENTER INC, OPELOUSAS, LA",Southwest Louisiana Primary Health Care Center,"8762 LA-182, Opelousas, LA 70570, USA",(337) 942-2005,30.5660639,-92.0729902
PLAQUEMINES PARISH HOSPITAL SERVICE DISTRICT NUMBER ONE,PORT SULPHUR,LA,"PLAQUEMINES PARISH HOSPITAL SERVICE DISTRICT NUMBER ONE, PORT SULPHUR, LA",Plaquemines Medical Center,"27136 LA-23, Port Sulphur, LA 70083, USA",(504) 564-3344,29.4947274,-89.7123508
ST GABRIEL HEALTH CLINIC INC,SAINT GABRIEL,LA,"ST GABRIEL HEALTH CLINIC INC, SAINT GABRIEL, LA",Saint Gabriel Health Clinic,"1707 Gardere Ln, Baton Rouge, LA 70820, USA",(225) 642-9676,30.3541636,-91.1271696
"DAVID RAINES COMMUNITY HEALTH CENTER, INC.",SHREVEPORT,LA,"DAVID RAINES COMMUNITY HEALTH CENTER, INC., SHREVEPORT, LA",David Raines Community Health Centers,"1625 David Raines Rd, Shreveport, LA 71107, USA",(318) 425-2252,32.5355378,-93.8281499
WINN COMMUNITY HEALTH CENTER,WINNFIELD,LA,"WINN COMMUNITY HEALTH CENTER, WINNFIELD, LA",Winn Community Health Center,"431 W Lafayette St, Winnfield, LA 71483, USA",(318) 648-0375,31.9247003,-92.6446081
PENOBSCOT COMMUNITY HEALTH CENTER,BANGOR,ME,"PENOBSCOT COMMUNITY HEALTH CENTER, BANGOR, ME",PENOBSCOT Community Health Center,"1012 Union St, Bangor, ME 04401, USA",(207) 404-8100,44.8158431,-68.8088913
FISH RIVER RURAL HEALTH,EAGLE LAKE,ME,"FISH RIVER RURAL HEALTH, EAGLE LAKE, ME",Fish River Rural Health,"10 Carter St, Eagle Lake, ME 04739, USA",(207) 444-5973,47.0364112,-68.5947036
"HEALTH ACCESS NETWORK, INC.",LINCOLN,ME,"HEALTH ACCESS NETWORK, INC., LINCOLN, ME",Health Access Network,"175 W Broadway, Lincoln, ME 04457, USA",(207) 794-6700,45.3605396,-68.5222778
SEBASTICOOK FAMILY DOCTORS,NEWPORT,ME,"SEBASTICOOK FAMILY DOCTORS, NEWPORT, ME",Sebasticook Regional Fam Med,"8 Main St A, Newport, ME 04953, USA",(207) 368-4292,44.8388015,-69.2882814
KATAHDIN VALLEY HEALTH CENTER,PATTEN,ME,"KATAHDIN VALLEY HEALTH CENTER, PATTEN, ME",Katahdin Valley Health Center,"30 Houlton St, Patten, ME 04765, USA",(866) 366-5842,45.9954654,-68.4460929
HEALTHREACH COMMUNITY HEALTH CENTERS,WATERVILLE,ME,"HEALTHREACH COMMUNITY HEALTH CENTERS, WATERVILLE, ME",HealthReach Community Health Centers,"10 Water St, Waterville, ME 04901, USA",(207) 872-5610,44.5461926,-69.6295021
MINISTRY OF HEALTH IN THE REPUBLIC OF THE MARSHALL ISLANDS,EBEYE,MH,"MINISTRY OF HEALTH IN THE REPUBLIC OF THE MARSHALL ISLANDS, EBEYE, MH",Ebeye,"Ebeye, Kwajalein Atoll 96970, RMI",,8.7814708,167.7373396
"BALTIMORE MEDICAL SYSTEM, INC.",BALTIMORE,MD,"BALTIMORE MEDICAL SYSTEM, INC., BALTIMORE, MD",Baltimore Medical System Inc,"3501 Sinclair Ln, Baltimore, MD 21213, USA",(410) 732-8800,39.3131386,-76.5685821
